Date,Time,Weight,Min,Max,Length,Min,Max,Counter,Printed Text,Status
2025-07-15,22:25:54,1000 lbs,1000.0,1100.0,90 ft,100.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.00 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,UNDERLENGTH
2025-07-15,22:28:37,1000 lbs,1000.0,1100.0,90 ft,100.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.00 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,UNDERLENGTH
2025-07-15,22:29:12,1000 lbs,1000.0,1100.0,90 ft,100.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.00 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,UNDERLENGTH
2025-07-15,22:29:44,1000.0 lbs,1000.0,1100.0,90.01 ft,100.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,UNDERLENGTH
2025-07-15,22:30:01,1000.0 lbs,1000.011,1100.0,90.01 ft,100.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,UNDERWEIGHT
2025-07-15,22:31:13,1000.0 lbs,1000.011,1100.0,90.01 ft,100.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,UNDERWEIGHT
2025-07-15,22:31:38,1000.0 lbs,999,1100.0,90.01 ft,10,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:31:40,1000.0 lbs,999,1100.0,90.01 ft,10,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:31:40,1000.0 lbs,999,1100.0,90.01 ft,10,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:31:41,1000.0 lbs,999,1100.0,90.01 ft,10,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:32:21,1000.0 lbs,999,1100,90.01 ft,10,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:32:22,1000.0 lbs,999,1100,90.01 ft,10,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:32:59,1000.0 lbs,999.0,1100.0,90.01 ft,10.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:33:03,1000.0 lbs,999.0,1100.0,90.01 ft,10.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:33:16,1000.0 lbs,999,1100,90.01 ft,10,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:33:17,1000.0 lbs,999,1100,90.01 ft,10,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:34:38,1000.0 lbs,999.0,1100.0,90.01 ft,10.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:34:38,1000.0 lbs,999.0,1100.0,90.01 ft,10.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:34:53,1000 lbs,999.0,1100.0,90.01 ft,10.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:34:54,1000 lbs,999.0,1100.0,90.01 ft,10.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:34:54,1000 lbs,999.0,1100.0,90.01 ft,10.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:36:16,1000 lbs,999.0,1100.0,90.01 ft,10.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:36:17,1000 lbs,999.0,1100.0,90.01 ft,10.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-15,22:36:39,1000 lbs,999.0,1100.0,90.01 ft,900,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,UNDERLENGTH
2025-07-15,22:39:12,1000 lbs,999.0,1100.0,90.01 ft,900.0,1000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   90.01 FT 1000.00 LBS HN  241B11000-1  WO 04-0475,UNDERLENGTH
