Date,Time,Weight,Min,Max,Length,Min,Max,Counter,Printed Text,Status
2025-07-16,10:40:58,0.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:41:02,0.0 lbs,0,2000,0.0 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   0.00 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:41:41,0.0 lbs,0,2000,11779.5 ft,0,1000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   11779.50 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OVERLENGTH
2025-07-16,10:41:47,0.0 lbs,0,2000,12176.89 ft,0,100000,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:42:10,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:42:16,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:42:30,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:42:31,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,1,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:42:33,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,2,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:42:40,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,3,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
2025-07-16,10:44:38,0.0 lbs,0.0,2000.0,12176.89 ft,0.0,100000.0,0,1ST API 5CT-2221 LOGO 05-25 PE 7 26-00 K S P 4600 PSI D   12176.89 FT 0.00 LBS HN  241B11000-1  WO 04-0475,OK
