Date,Time,Weight,Min,Max,Length,Min,Max,Counter,Printed Text,Status
2025-07-20,13:12:37,44.92 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,0,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 44.92 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,13:12:49,734.37 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 734.37 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,13:47:13,612.01 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,0,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 612.01 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,13:48:11,915.58 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 915.58 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,13:49:20,884.96 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,2,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 884.96 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,13:52:57,955.22 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,0,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 955.22 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,13:53:08,992.57 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 992.57 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,13:53:23,435.04 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,2,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 435.04 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,14:22:39,719.09 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,0,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 719.09 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,14:22:58,830.76 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 830.76 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,14:23:43,363.96 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,2,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 363.96 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,14:33:55,800.48 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,0,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 800.48 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,14:34:23,859.79 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 859.79 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,14:34:45,992.72 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,2,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 992.72 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,14:36:31,234.23 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,0,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 234.23 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,14:37:56,343.29 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 343.29 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,14:40:22,349.52 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,0,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 349.52 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,14:40:30,580.14 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 580.14 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,19:14:09,844.74 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 844.74 LBS HN  241B11000-1  WO 04-0475 15,WAITING FOR PRINTING
2025-07-20,19:17:03,423.28 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 423.28 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,19:17:05,590.26 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,2,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 590.26 LBS HN  241B11000-1  WO 04-0475,WAITING FOR PRINTING
2025-07-20,19:17:13,973.42 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,3,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 973.42 LBS HN  241B11000-1  WO 04-0475 2,WAITING FOR PRINTING
2025-07-20,19:17:26,424.24 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,4,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 424.24 LBS HN  241B11000-1  WO 04-0475 3,WAITING FOR PRINTING
2025-07-20,19:17:28,461.59 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,5,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 461.59 LBS HN  241B11000-1  WO 04-0475 4,WAITING FOR PRINTING
2025-07-20,19:23:58,431.34 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,5,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 431.34 LBS HN  241B11000-1  WO 04-0475 4,WAITING FOR PRINTING
2025-07-20,19:24:08,174.52 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,6,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 174.52 LBS HN  241B11000-1  WO 04-0475 5,WAITING FOR PRINTING
2025-07-20,19:29:21,332.75 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 332.75 LBS HN  241B11000-1  WO 04-0475 None,WAITING FOR PRINTING
2025-07-20,19:29:23,970.84 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,2,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 970.84 LBS HN  241B11000-1  WO 04-0475 1,WAITING FOR PRINTING
2025-07-20,19:29:24,511.4 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,3,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 511.4 LBS HN  241B11000-1  WO 04-0475 2,WAITING FOR PRINTING
2025-07-20,19:29:26,714.14 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,4,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 714.14 LBS HN  241B11000-1  WO 04-0475 3,WAITING FOR PRINTING
2025-07-20,19:30:15,813.69 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 813.69 LBS HN  241B11000-1  WO 04-0475 None,WAITING FOR PRINTING
2025-07-20,19:32:00,182.93 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 182.93 LBS HN  241B11000-1  WO 04-0475 None,WAITING FOR PRINTING
2025-07-20,19:32:05,418.62 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,2,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 418.62 LBS HN  241B11000-1  WO 04-0475 1,WAITING FOR PRINTING
2025-07-20,19:32:06,770.6 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,3,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 770.6 LBS HN  241B11000-1  WO 04-0475 2,WAITING FOR PRINTING
2025-07-20,19:32:11,347.88 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,4,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 347.88 LBS HN  241B11000-1  WO 04-0475 3,WAITING FOR PRINTING
2025-07-20,19:32:29,588.35 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 588.35 LBS HN  241B11000-1  WO 04-0475 None,WAITING FOR PRINTING
2025-07-20,19:32:50,287.57 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,2,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 287.57 LBS HN  241B11000-1  WO 04-0475 1,WAITING FOR PRINTING
2025-07-20,19:34:04,18.88 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 18.88 LBS HN  241B11000-1  WO 04-0475 0,WAITING FOR PRINTING
2025-07-20,19:34:10,614.27 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,2,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 614.27 LBS HN  241B11000-1  WO 04-0475 1,WAITING FOR PRINTING
2025-07-20,19:34:33,448.01 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,3,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 448.01 LBS HN  241B11000-1  WO 04-0475 2,WAITING FOR PRINTING
2025-07-20,19:34:35,319.88 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,4,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 319.88 LBS HN  241B11000-1  WO 04-0475 3,WAITING FOR PRINTING
2025-07-20,19:39:27,535.22 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,9967,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 535.22 LBS HN  241B11000-1  WO 04-0475 9966,WAITING FOR PRINTING
2025-07-20,19:39:29,34.47 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,9968,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 34.47 LBS HN  241B11000-1  WO 04-0475 9967,WAITING FOR PRINTING
2025-07-20,19:39:31,13.47 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,9969,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 13.47 LBS HN  241B11000-1  WO 04-0475 9968,WAITING FOR PRINTING
2025-07-20,19:40:46,606.36 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,2,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 606.36 LBS HN  241B11000-1  WO 04-0475 1,WAITING FOR PRINTING
2025-07-20,19:40:54,629.63 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,This is for list,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 629.63 LBS HN  241B11000-1  WO 04-0475 2,WAITING FOR PRINTING
2025-07-20,19:41:01,677.97 lbs,-2000.0,2000.0,7261.13 ft,0.0,100000.0,This is for list,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 FT 677.97 LBS HN  241B11000-1  WO 04-0475 This is for list,WAITING FOR PRINTING
2025-07-20,19:41:18,76.24 kg,-2000.0,2000.0,7261.13 mm,0.0,100000.0,This is for list,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   7261.13 MM 76.24 KG HN  241B11000-1  WO 04-0475 This is for list,WAITING FOR PRINTING
2025-07-20,19:53:48,377.08390022675735 lbs,-2000.0,2000.0,23.82260498687664 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   23.82260498687664 FT 377.08390022675735 LBS HN  241B11000-1  WO 04-0475 0,WAITING FOR PRINTING
2025-07-20,19:55:47,390.03 lbs,-2000.0,2000.0,23.82 ft,0.0,100000.0,1,1ST API SPEC 5CT-2221     05-25 PE 7 26.00 K S P 4600 PSI D   23.82 FT 390.03 LBS HN  241B11000-1  WO 04-0475 0,WAITING FOR PRINTING
