No,Date,Time,Length,Weight,Printed Text,Status
B1,2025-08-08,06:32:05,12262.13 (NORMAL),-1000 (UNDERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    12262.13mm    -1000kg   HN 241B11000-1   WO 04-0475   ,REJECT
B2,2025-08-08,06:32:52,12262.13 (NORMAL),-1000 (UNDERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    12262.13mm    -1000kg   HN 241B11000-1   WO 04-0475   ,REJECT
B3,2025-08-08,06:32:58,12262.13 (NORMAL),-1000 (UNDERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    12262.13mm    -1000kg   HN 241B11000-1   WO 04-0475   ,REJECT
B4,2025-08-08,06:33:04,12262.13 (NORMAL),-1000 (UNDERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    12262.13mm    -1000kg   HN 241B11000-1   WO 04-0475   ,REJECT
B5,2025-08-08,06:33:30,12262.13 (NORMAL),-1000 (UNDERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    12262.13mm    -1000kg   HN 241B11000-1   WO 04-0475   ,REJECT
B6,2025-08-08,06:35:24,12262.13 (NORMAL),-1000 (UNDERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    12262.13mm    -1000kg   HN 241B11000-1   WO 04-0475   ,REJECT
B7,2025-08-08,06:36:28,12262.13 (NORMAL),-1000 (UNDERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    12262.13mm    -1000kg   HN 241B11000-1   WO 04-0475   ,REJECT
B8,2025-08-08,06:36:50,12262.13 (NORMAL),-1000 (UNDERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    12262.13mm    -1000kg   HN 241B11000-1   WO 04-0475   ,REJECT
B9,2025-08-08,06:37:32,12262.13 (NORMAL),574.3 (OVERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    12262.13mm    574.3kg   HN 241B11000-1   WO 04-0475   ,REJECT
