No,Date,Time,Length,Weight,Printed Text,Status
A1,2025-08-14,07:48:36,11779.13 (NORMAL),573.03 (OVERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    11779.13mm    573.03kg   HN 241B11000-1   WO 04-0475   ,REJECT
A2,2025-08-14,07:48:40,11779.13 (NORMAL),573.03 (OVERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    11779.13mm    573.03kg   HN 241B11000-1   WO 04-0475   ,REJECT
A3,2025-08-14,07:56:25,11779.13 (NORMAL),573.03 (OVERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    11779.13mm    573.03kg   HN 241B11000-1   WO 04-0475   ,REJECT
A4,2025-08-14,07:56:31,11779.13 (NORMAL),573.03 (OVERWEIGHT),1ST API SPEC 5CT-2221          05-25 PE 7 26.00 K S P 4600 PSI D    11779.13mm    573.03kg   HN 241B11000-1   WO 04-0475   ,REJECT
